fecha,demanda_MW,Entalpia,Inercia_Termica,GSP
2021-01-02,26860.36,13.8676,5.3297,29.6426
2021-01-03,27079.88,13.9104,3.9501,32.6498
2021-01-04,31693.78,14.7257,4.0435,27.333
2021-01-05,32275.89,13.7522,4.2084,27.2437
2021-01-06,27959.94,13.8944,3.9896,26.526
2021-01-07,34168.26,14.6321,3.9989,20.0083
2021-01-08,34893.28,14.5357,3.8271,18.7839
2021-01-09,30923.89,14.8264,3.8238,16.6586
2021-01-10,29404.5,13.2219,3.7917,25.592
2021-01-11,33990.43,11.5711,2.9986,34.274
2021-01-12,35237.55,13.0033,2.5609,36.7859
2021-01-13,35165.08,16.2192,3.7723,34.1503
2021-01-14,34989.33,17.7385,5.3304,30.6979
2021-01-15,34549.7,18.7541,5.9843,30.0707
2021-01-16,30762.26,17.3315,6.3956,31.5574
2021-01-17,28575.06,19.6148,6.5675,27.7303
2021-01-18,33372.72,20.166,7.5169,29.5021
2021-01-19,34053.77,20.227,7.4367,27.216
2021-01-20,34068.21,23.8277,7.7165,12.6496
2021-01-21,32835.36,27.6119,9.0352,14.8663
2021-01-22,31808.28,25.6731,10.2951,17.7515
2021-01-23,28657.1,24.8893,9.6362,14.7566
2021-01-24,26123.58,26.4026,9.4084,18.0357
2021-01-25,31046.27,27.8962,10.0963,12.3925
2021-01-26,30821.1,28.5255,10.3574,14.7534
2021-01-27,29966.81,32.6855,10.9509,12.4111
2021-01-28,29681.19,32.7266,12.3862,13.6229
2021-01-29,29047.0,31.4115,12.7061,13.9792
2021-01-30,26708.39,27.6802,11.9455,16.7882
2021-01-31,25051.53,28.1964,10.8342,14.4565
2021-02-01,29059.35,29.9703,11.0109,16.4143
2021-02-02,29718.1,29.9999,11.681,16.1782
2021-02-03,29611.21,29.0683,11.5753,16.3939
2021-02-04,29539.31,28.4263,11.3227,14.2734
2021-02-05,29517.26,27.6676,10.9415,13.5538
2021-02-06,26634.44,24.8749,10.4925,18.4817
2021-02-07,25203.37,21.1745,8.9393,24.6889
2021-02-08,30139.82,24.7428,8.0331,19.6581
2021-02-09,31644.13,25.8159,9.3403,13.5343
2021-02-10,30727.01,26.0401,9.6576,22.0226
2021-02-11,30322.12,29.598,10.2385,17.7027
2021-02-12,29734.21,28.5865,11.2183,20.175
2021-02-13,26458.51,25.1768,10.7208,26.974
2021-02-14,25161.11,24.9852,9.834,28.9109
2021-02-15,29592.51,25.324,9.8424,27.8718
2021-02-16,30009.49,25.6962,9.9879,26.6084
2021-02-17,30032.06,27.3615,10.5226,23.1973
2021-02-18,30146.66,26.3681,11.1756,24.2689
2021-02-19,29860.24,26.6864,10.7119,24.8306
2021-02-20,26716.9,27.1084,10.9078,19.8639
2021-02-21,25467.23,26.273,10.8625,13.5425
2021-02-22,29599.31,23.1669,9.8673,30.3757
2021-02-23,29952.56,24.1361,9.0914,32.5572
2021-02-24,29874.24,27.0561,9.6725,29.0816
2021-02-25,29754.82,27.1251,10.5227,22.0016
2021-02-26,29582.41,27.4959,10.6296,21.6753
2021-02-27,26495.01,25.9298,10.6994,28.7937
2021-02-28,24674.23,24.7891,10.1929,27.9791
2021-03-01,29134.81,26.9939,9.863,19.2598
2021-03-02,29921.4,28.2343,10.6601,16.6486
2021-03-03,29772.16,28.3008,11.1033,21.9922
